mapping_key_type,mapping_key_value,anonymized_product_code,anonymized_base_product_id,anonymized_variant_id,anonymized_sku,anonymized_product_name,product_family,product_form,pack_size_months,is_bundle,active
sku,SKU-011,PRODUCT-011,PRODUCT_ID-013,VARIANT_ID-011,SKU-011,Product-011,sleep_vitamins,bottle,6,false,true
sku,SKU-012,PRODUCT-012,PRODUCT_ID-014,VARIANT_ID-012,SKU-012,Product-012,bundle,bundle,,true,true
sku,SKU-015,PRODUCT-015,PRODUCT_ID-017,VARIANT_ID-015,SKU-015,Product-015,accessory,gift_set,,true,true
sku,SKU-013,PRODUCT-013,PRODUCT_ID-015,VARIANT_ID-013,SKU-013,Product-013,bundle,bundle,,true,true
sku,SKU-014,PRODUCT-014,PRODUCT_ID-016,VARIANT_ID-014,SKU-014,Product-014,bundle,bundle,,true,true
sku,SKU-017,PRODUCT-017,PRODUCT_ID-019,VARIANT_ID-017,SKU-017,Product-017,accessory,accessory,,false,true
sku,SKU-016,PRODUCT-016,PRODUCT_ID-018,VARIANT_ID-016,SKU-016,Product-016,accessory,gift_set,,true,true
sku,SKU-019,PRODUCT-019,PRODUCT_ID-021,VARIANT_ID-019,SKU-019,Product-019,promo,promo_item,1,false,true
sku,SKU-018,PRODUCT-018,PRODUCT_ID-020,VARIANT_ID-018,SKU-018,Product-018,promo,promo_item,3,false,true
sku,SKU-020,PRODUCT-020,PRODUCT_ID-022,VARIANT_ID-020,SKU-020,Product-020,promo,promo_item,6,false,true
sku,SKU-021,PRODUCT-021,PRODUCT_ID-023,VARIANT_ID-021,SKU-021,Product-021,promo,promo_item,1,false,true
sku,SKU-031,PRODUCT-031,,,SKU-031,Product-031,promo,promo_item,1,false,true
sku,SKU-032,PRODUCT-032,,,SKU-032,Product-032,promo,promo_item,3,false,true
sku,SKU-022,PRODUCT-022,PRODUCT_ID-024,VARIANT_ID-022,SKU-022,Product-022,case,case_pack,,false,true
sku,SKU-023,PRODUCT-023,PRODUCT_ID-025,VARIANT_ID-023,SKU-023,Product-023,case,case_pack,,false,true
sku,SKU-033,PRODUCT-033,,,SKU-033,Product-033,case,case_pack,,false,true
sku,SKU-024,PRODUCT-024,PRODUCT_ID-026,VARIANT_ID-024,SKU-024,Product-024,sampler,sampler,,true,true
sku,SKU-025,PRODUCT-025,PRODUCT_ID-027,VARIANT_ID-025,SKU-025,Product-025,hair_vitamins,sampler,1,false,true
sku,SKU-026,PRODUCT-026,PRODUCT_ID-028,VARIANT_ID-026,SKU-026,Product-026,bundle,bundle,,true,true
sku,SKU-034,PRODUCT-034,,,SKU-034,Product-034,promo,promo_item,,false,true
sku,SKU-035,PRODUCT-035,,,SKU-035,Product-035,promo,promo_item,,false,true
sku,SKU-036,PRODUCT-036,,,SKU-036,Product-036,promo,promo_item,,true,true
sku,SKU-037,PRODUCT-037,,,SKU-037,Product-037,display,display,,false,true
base_product_id,4535414718548,PRODUCT-038,PRODUCT_ID-029,VARIANT_ID-027,SKU-038,Product-038,sleep_vitamins,sampler,,false,true
base_product_id,4376938807380,PRODUCT-039,PRODUCT_ID-030,VARIANT_ID-028,SKU-039,Product-039,hair_vitamins,sampler,,false,true
base_product_id,4570811334740,PRODUCT-040,PRODUCT_ID-031,VARIANT_ID-029,SKU-040,Product-040,womens_multi,sampler,,false,true
sku,SKU-038,PRODUCT-038,PRODUCT_ID-029,VARIANT_ID-027,SKU-038,Product-038,sleep_vitamins,sampler,,false,true
sku,SKU-039,PRODUCT-039,PRODUCT_ID-030,VARIANT_ID-028,SKU-039,Product-039,hair_vitamins,sampler,,false,true
sku,SKU-040,PRODUCT-040,PRODUCT_ID-031,VARIANT_ID-029,SKU-040,Product-040,womens_multi,sampler,,false,true
base_product_id,4328569372756,PRODUCT-041,PRODUCT_ID-032,VARIANT_ID-030,SKU-041,Product-041,accessory,accessory,,false,true
base_product_id,3704740905044,PRODUCT-042,PRODUCT_ID-033,VARIANT_ID-031,SKU-042,Product-042,accessory,gift_set,,true,true
sku,SKU-041,PRODUCT-041,PRODUCT_ID-032,VARIANT_ID-030,SKU-041,Product-041,accessory,accessory,,false,true
sku,SKU-042,PRODUCT-042,PRODUCT_ID-033,VARIANT_ID-031,SKU-042,Product-042,accessory,gift_set,,true,true
